exp,iterations,layers,units,gamma,lambda,train_win,beginner_win,intermediate_win
0,10000,1,40,1,0.7,52,71,42
1,10000,4,160,1,0.7,38,2,
2,10000,1,40,0.8,0.7,47,54,37
3,5000,3,40,1,0.7,88,4,
4,10000,1,160,1,0.7,53,62,
5,10000,1,40,0.7,0.7,52,36,
6,1000,3,60,1,0.7,20,10,
7,10000,9,160,1,0.7,75,0,
8,10000,1,40,0.6,0.7,48,54,37
9,3000,1,160,1,0.7,51,22,
10,10000,14,160,1,0.7,99,4,
11,10000,1,40,0.5,0.7,51,48,
12,15000,2,160,1,0.7,52,61,44
13,,,,,,,,
14,10000,1,40,0.4,0.7,54,55,38
15,10000,1,40,1,0.5,51,62,43
16,,,,,,,,
17,10000,1,40,0.3,0.7,50,52,35
18,10000,1,40,1,0.9,44,48,
19,,,,,,,,
20,,,,,,,,
21,20000,3,160,1,0.7,46,26,
22,,,,,,,,
23,,,,,,,,
24,100000,1,40,1,0.7,50,77,58
25,,,,,,,,
26,,,,,,,,
27,,,,,,,,
28,,,,,,,,
29,,,,,,,,
30,,,,,,,,
31,,,,,,,,
32,,,,,,,,
33,10000,1,40,1,0.95,51,52,28
34,,,,,,,,
35,,,,,,,,
36,10000,1,40,1,0.85,49,62,41
37,,,,,,,,
38,,,,,,,,
39,10000,1,40,1,0.75,52,63,42
40,,,,,,,,
41,100000,1,160,1,0.7,50,84,56
42,,,,,,,,
43,,,,,,,,
44,10000,1,40,1,1,36,9,